method,endpoint,endpointLength,executionTime
PUT,/api/blog/posts/3140,4,0.03017258644104004
DELETE,/api/blog/posts/3142,4,0.027378082275390625
GET,/api/doc,2,0.03339195251464844
POST,/api/blog/posts,3,0.04344940185546875
POST,/api/blog/posts,3,0.024476051330566406
POST,/api/blog/posts,3,0.025708913803100586
POST,/api/blog/posts,3,0.048311710357666016
POST,/api/blog/posts,3,0.038620710372924805
POST,/api/blog/posts,3,0.030722379684448242
POST,/api/blog/posts,3,0.026089906692504883
POST,/api/blog/posts,3,0.054556846618652344
POST,/api/blog/posts,3,0.04662895202636719
POST,/api/blog/posts,3,0.027513980865478516
POST,/api/blog/posts,3,0.024451017379760742
POST,/api/blog/posts,3,0.039856672286987305
POST,/api/blog/posts,3,0.031920433044433594
POST,/api/blog/posts,3,0.03700613975524902
GET,/api/blog/posts/3152,4,0.0335536003112793
PUT,/api/blog/posts/3153,4,0.026141881942749023
PUT,/api/blog/posts/3153,4,0.030002832412719727
PUT,/api/blog/posts/3154,4,0.02617025375366211
DELETE,/api/blog/posts/3156,4,0.03370833396911621
GET,/api/doc,2,0.022336483001708984
POST,/api/blog/posts,3,0.04090452194213867
POST,/api/blog/posts,3,0.05688357353210449
POST,/api/blog/posts,3,0.03499913215637207
POST,/api/blog/posts,3,0.05287337303161621
POST,/api/blog/posts,3,0.04757356643676758
POST,/api/blog/posts,3,0.029534339904785156
POST,/api/blog/posts,3,0.02882242202758789
POST,/api/blog/posts,3,0.026529312133789062
POST,/api/blog/posts,3,0.03195548057556152
POST,/api/blog/posts,3,0.05838799476623535
POST,/api/blog/posts,3,0.04535961151123047
POST,/api/blog/posts,3,0.026247501373291016
POST,/api/blog/posts,3,0.027506113052368164
POST,/api/blog/posts,3,0.03739762306213379
POST,/api/blog/posts,3,0.02644824981689453
POST,/api/blog/posts,3,0.02423405647277832
POST,/api/blog/posts,3,0.02832317352294922
POST,/api/blog/posts,3,0.02260422706604004
GET,/api/blog/posts/3166,4,0.043201446533203125
PUT,/api/blog/posts/3167,4,0.026540279388427734
PUT,/api/blog/posts/3167,4,0.033647775650024414
DELETE,/api/blog/posts/3169,4,0.04194474220275879
GET,/api/doc,2,0.027350187301635742
POST,/api/blog/posts,3,0.04570293426513672
POST,/api/blog/posts,3,0.027005672454833984
POST,/api/blog/posts,3,0.026093721389770508
POST,/api/blog/posts,3,0.042853593826293945
POST,/api/blog/posts,3,0.03988480567932129
POST,/api/blog/posts,3,0.03257179260253906
POST,/api/blog/posts,3,0.03215956687927246
POST,/api/blog/posts,3,0.054512739181518555
POST,/api/blog/posts,3,0.041307926177978516
POST,/api/blog/posts,3,0.026275157928466797
POST,/api/blog/posts,3,0.027368783950805664
POST,/api/blog/posts,3,0.04734325408935547
POST,/api/blog/posts,3,0.025326251983642578
POST,/api/blog/posts,3,0.025165796279907227
GET,/api/blog/posts/3179,4,0.02858734130859375
PUT,/api/blog/posts/3180,4,0.05628705024719238
PUT,/api/blog/posts/3180,4,0.022232532501220703
PUT,/api/blog/posts/3181,4,0.030479907989501953
